lake,metric,variable,median,sd,indicator,change_low,change_high
Long,exceedance_level,10,1099.71431,0.374256443,plants,-1.5,1.75
Plainfield,exceedance_level,10,1099.20558,0.366391453,plants,-0.5,0.5
Pleasant,exceedance_level,10,980.9085109,0.186541452,plants,-4.5,Inf
Long,exceedance_level,10,1099.71431,0.374256443,fish,0,0.5
Pleasant,exceedance_level,10,980.9085109,0.186541452,fish,-1.7,1.6
Pleasant,exceedance_level,10,980.9085109,0.186541452,stratification,-4.3,Inf
Long,exceedance_level,25,1098.820452,0.291711515,plants,-1.25,2
Plainfield,exceedance_level,25,1098.420228,0.287628448,plants,-1.25,0.5
Pleasant,exceedance_level,25,980.4537912,0.174715342,plants,-4.25,Inf
Long,exceedance_level,25,1098.820452,0.291711515,fish,0,0.4
Pleasant,exceedance_level,25,980.4537912,0.174715342,fish,-1.6,1.6
Pleasant,exceedance_level,25,980.4537912,0.174715342,stratification,-3.9,Inf
Long,exceedance_level,50,1097.536561,0.305621987,plants,-0.75,1
Plainfield,exceedance_level,50,1097.470802,0.290866913,plants,-0.3,0.3
Pleasant,exceedance_level,50,979.9368185,0.159749828,plants,-4,Inf
Long,exceedance_level,50,1097.536561,0.305621987,fish,0,0.3
Pleasant,exceedance_level,50,979.9368185,0.159749828,fish,-1.6,1.5
Pleasant,exceedance_level,50,979.9368185,0.159749828,stratification,-3.3,Inf
Long,exceedance_level,75,1095.970736,0.226007831,plants,-0.5,0.5
Plainfield,exceedance_level,75,1096.445236,0.324934407,plants,-1.25,1.75
Pleasant,exceedance_level,75,979.4229988,0.164620236,plants,-4,Inf
Long,exceedance_level,75,1095.970736,0.226007831,fish,0,0.2
Pleasant,exceedance_level,75,979.4229988,0.164620236,fish,-1.5,1.5
Pleasant,exceedance_level,75,979.4229988,0.164620236,stratification,-2.8,Inf
Long,exceedance_level,90,1094.738226,0.198529162,plants,-0.5,0.5
Plainfield,exceedance_level,90,1095.512012,0.40145392,plants,-0.75,1.5
Pleasant,exceedance_level,90,978.9938302,0.204323158,plants,-3.75,Inf
Long,exceedance_level,90,1094.738226,0.198529162,fish,0,0.5
Pleasant,exceedance_level,90,978.9938302,0.204323158,fish,-1.5,1.5
Pleasant,exceedance_level,90,978.9938302,0.204323158,stratification,-2.4,Inf
Long,exceedance_range,m_10_90,4.997536681,0.402751709,plants,0,0
Plainfield,exceedance_range,m_10_90,3.728236642,0.464968509,plants,0,0
Pleasant,exceedance_range,m_10_90,1.94260158,0.215517359,plants,0,0
Long,median_fall_rate,1,-0.423858588,0.117259076,fish,0,0
Pleasant,median_fall_rate,1,-0.349776038,0.068979715,fish,0,0
Long,median_fall_rate,3,-0.59090838,0.087404628,fish,0,0
Pleasant,median_fall_rate,3,-0.39205966,0.062594401,fish,0,0
Long,median_fall_rate,12,-0.954300294,0.116933623,fish,0,0
Pleasant,median_fall_rate,12,-0.479343822,0.058760233,fish,0,0
Long,median_rise_rate,1,0.421919702,0.113678085,fish,0,0
Pleasant,median_rise_rate,1,0.351062994,0.067771636,fish,0,0
Long,median_rise_rate,3,0.60675435,0.083779683,fish,0,0
Pleasant,median_rise_rate,3,0.403868983,0.065423773,fish,0,0
Long,median_rise_rate,12,1.003342175,0.121939281,fish,0,0
Pleasant,median_rise_rate,12,0.497201751,0.056822812,fish,0,0
Long,num_2yr_seas,a50,3,0.624010339,plants,0,4
Plainfield,num_2yr_seas,a50,4,0.926419158,plants,0,3
Pleasant,num_2yr_seas,a50,4,0.793147435,plants,0,3
Long,num_2yr_seas,a50,3,0.624010339,fish,0,4
Pleasant,num_2yr_seas,a50,4,0.793147435,fish,0,3
Long,num_2yr_seas,b50,2,0.882494009,plants,0,4
Plainfield,num_2yr_seas,b50,3,0.742186408,plants,0,3
Pleasant,num_2yr_seas,b50,3,0.957317743,plants,0,3
Long,num_2yr_seas,b50,2,0.882494009,fish,0,4
Pleasant,num_2yr_seas,b50,3,0.957317743,fish,0,3
Pleasant,good_spawning,good_spawning,8.1081081,4.9954386,fish,0,30
